tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes,actor,actress,producer
tt0101373,At Play in the Fields of the Lord,At Play in the Fields of the Lord,1991,189,"Drama,Romance",nm0002199,"nm0560249,nm0140643,nm0002199,nm0665932",6.8,3707,"nm0000297,nm0001475,nm0001644,nm0001823,nm0305447,nm0944400,nm0241663,nm0457915","nm0000435,nm0000870",nm0951763
tt0101376,Atlantis,Atlantis,1991,78,"Documentary,Music",nm0000108,\N,6.7,2032,,,nm0496628
tt0101393,Backdraft,Backdraft,1991,137,"Action,Drama,Mystery",nm0000165,nm0927074,6.7,92420,"nm0000621,nm0000287,nm0000134,nm0000661,nm0001277,nm0001263,nm0000687,nm14719759","nm0000492,nm0000360","nm0219720,nm0507669,nm0914709"
tt0101410,Barton Fink,Barton Fink,1991,116,"Comedy,Drama,Thriller","nm0001054,nm0001053","nm0001054,nm0001053",7.6,134393,"nm0001806,nm0000422,nm0503627,nm0001498,nm0001724,nm0689237,nm0000114,nm0913099,nm0692466",nm0001114,nm0001053
tt0101414,Beauty and the Beast,Beauty and the Beast,1991,84,"Animation,Family,Fantasy","nm0873779,nm0936374","nm0941314,nm0152312,nm0761498,nm0560329,nm0363125,nm0683724,nm0940849,nm0710020,nm0254085,nm0038432,nm0501729,nm0207305,nm0998551,nm3343855",8.0,499947,"nm0000913,nm0181425,nm0263591,nm0001583,nm0682300,nm0001773,nm0001773,nm0925369","nm0641314,nm0001450,nm0941506",nm0353893
tt0101428,La belle noiseuse,La belle noiseuse,1991,238,Drama,nm0729626,"nm0094726,nm10535179,nm0729626,nm0051304",7.5,10325,"nm0681566,nm0123395,nm0033415","nm0000945,nm0000322,nm0219099,nm0069252,nm0736655,nm0718939,nm0328888",nm0547376
tt0101429,Divertimento,Divertimento,1992,125,Drama,nm0729626,"nm0094726,nm10535179,nm0729626,nm0051304",7.4,774,"nm0681566,nm0123395,nm0033415,nm0240668","nm0000945,nm0000322,nm0219099,nm0069252,nm0736655,nm0718939",
tt0101440,Life on a String,Bian zou bian chang,1991,110,"Drama,Music,Romance",nm0155280,"nm0155280,nm0793023",6.9,733,"nm0515057,nm0399015,nm0299895,nm0423157,nm0955461,nm0955461,nm0955734","nm0944647,nm0530874",nm0710511
tt0101458,Until the End of the World,Bis ans Ende der Welt,1991,287,"Action,Drama,Sci-Fi",nm0000694,"nm0137020,nm0000694,nm0231652,nm0021899",6.8,12248,"nm0000458,nm0265989,nm0878090,nm0650849,nm0593306,nm0227669,nm0241504,nm0000554","nm0231652,nm0527542","nm0202367,nm0850038"
tt0101465,Black Robe,Black Robe,1991,101,"Adventure,Drama,War",nm0000915,nm0600972,7.1,8142,"nm0089937,nm0949237,nm0770763,nm0878625,nm0063143,nm0514935,nm0182808,nm0933407","nm0002142,nm0001987","nm0487190,nm0589738,nm0717008"
tt0101490,To Be Number One,Bai Ho,1991,136,"Action,Biography,Crime",nm0690952,"nm0404837,nm0496779,nm0157343,nm0538332,nm0803314",7.2,772,"nm0514998,nm0155587,nm0498429,nm0875275,nm0628714,nm0874684,nm0939209,nm0150864","nm0948112,nm0001867","nm0161284,nm0538332,nm0943125"
tt0101507,Boyz n the Hood,Boyz n the Hood,1991,112,"Crime,Drama",nm0005436,nm0005436,7.8,165545,"nm0000421,nm0000401,nm0015677,nm0042998,nm0081880,nm0114008","nm0000291,nm0068406,nm0114352,nm0147465",nm0630222
tt0101516,Bugsy,Bugsy,1991,136,"Biography,Crime,Drama",nm0001469,"nm0864812,nm0421135",6.8,32739,"nm0000886,nm0000172,nm0001426,nm0001285,nm0001505,nm0764781,nm0768908","nm0000906,nm0001564,nm0680881","nm0000886,nm0425741,nm0001469"
tt0101526,Children of Nature,Börn náttúrunnar,1991,82,"Drama,Romance",nm0296144,"nm0296144,nm0350270",7.2,1679,"nm0356342,nm0356341,nm0439607,nm0004486,nm0959958,nm2265692,nm1870349,nm2286294","nm0353206,nm0103852","nm0296144,nm0679450"
tt0101529,Cabeza de Vaca,Cabeza de Vaca,1991,111,"Adventure,Biography,Drama",nm0248420,"nm0248420,nm0638011,nm0733394,nm0792172",6.9,1260,"nm0225921,nm0319843,nm0554929,nm0554929,nm0144543,nm0898080,nm0167952,nm3001810,nm0532690,nm0207392",nm0248463,"nm1765909,nm0813741,nm0844984"
tt0101540,Cape Fear,Cape Fear,1991,128,"Crime,Drama,Thriller",nm0000217,"nm0531792,nm0916139,nm0834338",7.3,237069,"nm0000134,nm0000560,nm0000833,nm0000053,nm0000060,nm0000842,nm0000669","nm0001448,nm0000496,nm0001152",nm0208381
tt0101587,City Slickers,City Slickers,1991,113,"Comedy,Western",nm0881038,"nm0304665,nm0541632",6.8,66843,"nm0000345,nm0001588,nm0827663,nm0456124,nm0932244,nm0910145,nm0609215,nm0001601","nm0923210,nm0000644",nm0808511
tt0101588,City of Hope,City of Hope,1991,129,"Crime,Drama",nm0000626,nm0000626,7.2,2896,"nm0001759,nm0516215,nm0579116,nm0177933,nm0608012,nm0946137,nm0003167,nm0333804,nm0863226,nm0000626",,"nm0338320,nm0719964"
tt0101592,Clearcut,Clearcut,1991,100,"Drama,Horror,Thriller",nm0003794,"nm0446620,nm0287069",7.0,1904,"nm0494784,nm0001295,nm0389581,nm0922671,nm0414103,nm0874232,nm0587690,nm12690632","nm0810159,nm0420953","nm0568198,nm0745030"
tt0101600,The Dove's Lost Necklace,Le collier perdu de la colombe,1991,86,"Drama,Family,Fantasy",nm0451592,nm0451592,7.0,574,"nm0159527,nm0032910,nm0440437,nm10375942,nm0431071","nm0260083,nm1425038,nm1357698,nm0197483",nm0069893
tt0101605,The Commitments,The Commitments,1991,118,"Comedy,Drama,Music",nm0000570,"nm0236486,nm0166074,nm0478588",7.6,41927,"nm0035087,nm0013932,nm0278194,nm0331150,nm0360598,nm0557296,nm0614403","nm0050337,nm0448204,nm0302345","nm4405791,nm0709721"
tt0101616,Coolie No. 1,Coolie No. 1,1995,143,"Action,Comedy,Romance",nm0223522,"nm0415514,nm0434318",6.6,6171,"nm0332871,nm0363055,nm0434318,nm0007106,nm0025389,nm0451425,nm0025618,nm0025630","nm0006433,nm0437146",nm0080171
tt0101632,Csapd le csacsi!,Csapd le csacsi!,1991,80,Comedy,nm0879423,nm0879423,7.7,1349,"nm0350673,nm0258272,nm0464417,nm0843677,nm0073473,nm0246336","nm0660116,nm0261972,nm0879556,nm0958191",nm0765692
tt0101640,Raise the Red Lantern,Da hong denglong gaogao gua,1991,125,"Drama,Romance",nm0955443,"nm0867263,nm0955600",8.1,37364,"nm0530864,nm0702629,nm0955639,nm0955672","nm0000084,nm0372078,nm0134862,nm0510917,nm0796052,nm0918074",nm0158393
tt0101649,Thalapathi,Thalapathi,1991,157,"Action,Crime,Drama",nm0711745,"nm0711745,nm1391608",8.5,15666,"nm0707425,nm0007123,nm0841552,nm0700869,nm0762839,nm1706602","nm0811794,nm0820286,nm0080228,nm0311677","nm2131632,nm1234765"
tt0101658,Danzón,Danzón,1991,120,Drama,nm0636979,"nm0636977,nm0636979",6.9,730,"nm0890398,nm0139555,nm0720164,nm0811913","nm0737938,nm0758345,nm0410609,nm0324282,nm0161695,nm0345999",nm0844984
tt0101669,Dead Again,Dead Again,1991,107,"Crime,Drama,Mystery",nm0000110,nm0291082,6.8,31638,"nm0000110,nm0000110,nm0000412,nm0247733,nm0599581,nm0190441,nm0000245,nm0001431","nm0000668,nm0000668,nm0355838,nm0026910,nm0026910","nm0233386,nm0536557"
