tconst,primaryTitle,originalTitle,startYear,runtimeMinutes,genres,directors,writers,averageRating,numVotes
tt0102015,Hearts of Darkness: A Filmmaker's Apocalypse,Hearts of Darkness: A Filmmaker's Apocalypse,1991,96,Documentary,"nm0046943,nm0382584,nm0178880","nm0046943,nm0382584",8.1,25236
tt0102035,Highway 61,Highway 61,1991,102,"Comedy,Music",nm0567680,"nm0535821,nm0567680,nm0001528",7.0,1553
tt0102048,Homicide,Homicide,1991,102,"Crime,Mystery,Thriller",nm0000519,nm0000519,6.9,8773
tt0102050,Voyager,Homo Faber,1991,117,"Drama,Romance",nm0772522,"nm0772522,nm0943382,nm0295835,nm3508863",6.7,3750
tt0102057,Hook,Hook,1991,142,"Adventure,Comedy,Family",nm0000229,"nm0057381,nm0366337,nm0145309,nm0549369",6.8,286956
tt0102058,Out of Life,Hors la vie,1991,97,"Crime,Drama,War",nm0046554,"nm1627465,nm0046554,nm0213939,nm0451898",6.8,539
tt0102059,Hot Shots!,Hot Shots!,1991,85,"Action,Comedy",nm0000720,"nm0000720,nm0698493",6.7,123578
tt0102071,Hum,Hum,1991,184,"Action,Comedy,Drama",nm0002172,"nm1174579,nm1226230,nm0434318",6.9,3641
tt0102103,Impromptu,Impromptu,1991,107,"Biography,Comedy,Music",nm0487567,nm0449576,6.8,5865
tt0102116,The Indian Runner,The Indian Runner,1991,127,Drama,nm0000576,nm0000576,6.9,10252
tt0102136,I Don't Kiss,J'embrasse pas,1991,115,"Adventure,Crime,Drama",nm0029242,"nm0634500,nm0029242,nm0342611",6.7,1564
tt0102137,I Can No Longer Hear the Guitar,J'entends plus la guitare,1991,98,Drama,nm0308042,"nm0158967,nm0308042,nm0333069",6.9,551
tt0102138,JFK,JFK,1991,189,"Drama,History,Thriller",nm0000231,"nm0308426,nm0550285,nm0000231,nm0804466",8.0,179636
tt0102141,Jacquot of Nantes,Jacquot de Nantes,1991,118,"Biography,Comedy,Drama",nm0889513,"nm0889513,nm0218840",7.7,2250
tt0102159,Operation Scorpio,Kit ji jin si,1992,99,"Action,Comedy",nm0481681,"nm0150825,nm0525335,nm0938944",6.9,714
tt0102164,Johnny Stecchino,Johnny Stecchino,1991,102,"Comedy,Crime,Romance",nm0000905,"nm0000905,nm0148437",7.2,12210
tt0102175,Jungle Fever,Jungle Fever,1991,132,"Drama,Romance",nm0000490,nm0000490,6.6,20821
tt0102181,Kafka,Kafka,1991,98,"Drama,Mystery,Sci-Fi",nm0001752,nm0229644,6.8,11031
tt0102190,Karniggels,Karniggels,1991,94,Comedy,"nm0118345,nm0896856","nm0118345,nm0796863",6.8,547
tt0102223,Kit Kat,El-Kit Kat,1991,129,"Comedy,Drama,Romance",nm0008150,"nm0008150,nm3719264,nm9618225",8.3,3058
tt0102234,The Smoke,Kour,1991,89,"Comedy,Musical",nm0903438,"nm0875718,nm0324691,nm3533206",7.4,734
tt0102237,Kroll,Kroll,1991,101,"Action,Drama",nm0664582,nm0664582,6.8,1374
tt0102250,L.A. Story,L.A. Story,1991,95,"Comedy,Drama,Fantasy",nm0413875,nm0000188,6.7,35619
tt0102258,Lamhe,Lamhe,1991,187,"Drama,Musical,Romance",nm0007181,"nm0409790,nm0713592",7.2,3357
tt0102266,The Last Boy Scout,The Last Boy Scout,1991,105,"Action,Comedy,Crime",nm0001716,"nm0000948,nm0382855",7.0,118780
tt0102288,Let Him Have It,Let Him Have It,1991,115,"Crime,Drama,History",nm0575389,"nm0701031,nm0905498",7.1,3977
tt0102293,Riki-Oh: The Story of Ricky,Lik wong,1991,91,"Action,Comedy,Crime",nm0482670,"nm1834353,nm1618302,nm0482670",7.0,16281
tt0102307,Light Sleeper,Light Sleeper,1992,103,"Crime,Drama",nm0001707,nm0001707,6.9,10999
tt0102316,Little Man Tate,Little Man Tate,1991,99,Drama,nm0000149,nm0291082,6.6,17460
tt0102358,Lune froide,Lune froide,1991,92,Drama,nm0099084,"nm0077449,nm0099084,nm0001977",6.7,506
tt0102368,Madame Bovary,Madame Bovary,1991,143,"Drama,Romance",nm0001031,"nm0281306,nm0001031",6.6,4826
tt0102388,The Man in the Moon,The Man in the Moon,1991,99,"Drama,Romance",nm0612322,nm0935053,7.2,21075
tt0102421,Mother,Mayrig,1991,157,Drama,nm0894577,nm0894577,7.5,3758
tt0102426,Mediterraneo,Mediterraneo,1991,96,"Comedy,Drama,War",nm0759368,nm0599291,7.4,17436
